Capacitance (uF),Number of 1k ohm resistors (#),Time to discharge (ms),,
100,1,208,239,31
100,1,215,239,24
100,2,99,107,8
100,2,102,107,5
100,3,61,61,0
100,3,60,61,1
100,4,47,43,4
100,4,43,43,0
100,5,32,45,13
100,5,36,45,9
200,1,435,453,18
200,1,432,453,21
200,2,214,221,7
200,2,207,221,14
200,3,140,138,2
200,3,135,138,3
200,4,106,104,2
200,4,102,104,2
200,5,75,98,23
200,5,79,98,19
220,1,499,497,2
220,1,504,497,7
220,2,239,244,5
220,2,234,244,10
220,3,163,154,9
220,3,154,154,0
220,4,113,116,3
220,4,112,116,4
220,5,86,108,22
220,5,96,108,12
440,1,992,999,7
440,1,1000,999,1
440,2,493,502,9
440,2,494,502,8
440,3,332,324,8
440,3,320,324,4
440,4,240,247,7
440,4,236,247,11
440,5,191,217,26
440,5,188,217,29
470,1,1048,1070,22
470,1,1045,1070,25
470,2,511,538,27
470,2,506,538,32
470,3,338,347,9
470,3,331,347,16
470,4,252,264,12
470,4,248,264,16
470,5,202,232,30
470,5,194,232,38
940,1,2073,2112,39
940,1,2076,2112,36
940,2,1040,1122,82
940,2,1026,1122,96
940,3,673,698,25
940,3,687,698,11
940,4,507,510,3
940,4,506,510,4
940,5,410,424,14
940,5,419,424,5
1000,1,2216,2217,1
1000,1,2219,2217,2
1000,2,1166,1196,30
1000,2,1200,1196,4
1000,3,736,739,3
1000,3,757,739,18
1000,4,540,537,3
1000,4,539,537,2
1000,5,459,444,15
1000,5,440,444,4
