Capacitance (uF),Number of 1k ohm resistors,Time to discharge (ms)
100,1,208
100,1,215
100,2,99
100,2,102
100,3,61
100,3,60
100,4,47
100,4,43
100,5,32
100,5,36
200,1,435
200,1,432
200,2,214
200,2,207
200,3,140
200,3,135
200,4,106
200,4,102
200,5,75
200,5,79
220,1,499
220,1,504
220,2,239
220,2,234
220,3,163
220,3,154
220,4,113
220,4,112
220,5,86
220,5,96
440,1,992
440,1,1000
440,2,493
440,2,494
440,3,332
440,3,320
440,4,240
440,4,236
440,5,191
440,5,188
470,1,1048
470,1,1045
470,2,511
470,2,506
470,3,338
470,3,331
470,4,252
470,4,248
470,5,202
470,5,194
940,1,2073
940,1,2076
940,2,1040
940,2,1026
940,3,673
940,3,687
940,4,507
940,4,506
940,5,410
940,5,419
1000,1,2216
1000,1,2219
1000,2,1166
1000,2,1200
1000,3,736
1000,3,757
1000,4,540
1000,4,539
1000,5,459
1000,5,440
